name,screen_name,party,total_tweets_found,tweets_by_politician,ratio
"Schrodi, Michael",mischrodi,SPD,229,211,92.14
"Schulz, Martin",MartinSchulz,SPD,50,46,92.0
"Schulz, Uwe",Uwe_Schulz_AfD,AfD,28,25,89.29
"Schweiger, Torsten",cdu_schweiger,CDU,16,14,87.5
"Seitz, Thomas",Th_Seitz_AfD,AfD,15,13,86.67
"Sichert, Martin",Martin_Sichert,AfD,272,248,91.18
"Simon, Björn",BjoernSimon,CDU,66,56,84.85
"Sitta, Frank",franksitta,FDP,25,22,88.0
"Solms, Dr. Hermann Otto",solms,FDP,109,100,91.74
"Sommer, Evrim",HESommer,Die Linke,964,830,86.1
"Spaniel, Dr. Dirk",DirkSpaniel,AfD,81,74,91.36
"Mieruch, Mario",MieruchMario,Fraktionslos,5862,5089,86.81
"Staffler, Katrin",katrin_staffler,CSU,53,38,71.7
"Stark-Watzinger, Bettina",starkwatzinger,FDP,813,698,85.85
"Steier, Andreas",AndreasSteier,CDU,270,252,93.33
"Stein, Jens Mathias",stonie_kiel,SPD,531,429,80.79
"Stein, Peter",Peter_Stein_CDU,CDU,342,300,87.72
"Storch, Beatrix von",Beatrix_vStorch,AfD,477,411,86.16
"Strack-Zimmermann, Dr. Marie-Agnes",MAStrackZi,FDP,2737,2591,94.67
"Strasser, Benjamin",bstrasser,FDP,441,376,85.26
"Suding, Katja",KatjaSuding,FDP,510,473,92.75
"Teuteberg, Linda",LindaTeuteberg,FDP,252,207,82.14
"Theurer, Michael",EUTheurer,FDP,434,379,87.33
"Thomae, Stephan",StephanThomae,FDP,626,532,84.98
"Tiemann, Dr. Dietlind",dr_tiemann,CDU,0,0,0
"Todtenhausen, Manfred",MTodtenhausen,FDP,76,49,64.47
"Toncar, Dr. Florian",florian_toncar,FDP,381,353,92.65
"Töns, Markus",Toens_NRW04,SPD,273,225,82.42
"Uhl, Markus",uhl_markus,CDU,1,1,100.0
"Ullmann, Prof. Dr. Andrew",UllmannMdB,FDP,912,814,89.25
"Vogel, Johannes",johannesvogel,FDP,2399,2230,92.96
"Wagner, Andreas",Andi_Wagner,Die Linke,336,296,88.1
"Wagner, Daniela",DanyWagner_DA,Bündnis 90/Die Grünen,215,165,76.74
"Weeser, Sandra",sandra_weeser,FDP,2263,2127,93.99
"Weidel, Dr. Alice",Alice_Weidel,AfD,335,323,96.42
"Weyel, Prof. Dr. Harald",h_weyel,AfD,1067,831,77.88
"Wildberg, Dr. Heiko",Heiko_Wildberg,AfD,0,0,0
"Wirth, Dr. Christian Friedrich",ChrWirthMdB,AfD,63,63,100.0
"Witt, Uwe",Witt_Uwe,AfD,261,227,86.97
"Ziemiak, Paul",PaulZiemiak,CDU,681,570,83.7
"Braun, Jürgen",JuergenBraunAfD,AfD,1853,1432,77.28
"Jacobi, Fabian",Jacobi_AfD,AfD,381,349,91.6
"König, Jörn",JoernKoenigAfD,AfD,0,0,0
"Magnitz, Frank",Frank_Magnitz,AfD,2,2,100.0
"Springer, René",Rene_Springer,AfD,84,76,90.48
"Kraft, Dr. Rainer",Dr_Rainer_Kraft,AfD,653,409,62.63
"Hoffmann, Dr. Bettina",bhoffmann_mdb,Bündnis 90/Die Grünen,253,200,79.05
"Kappert-Gonther, Dr. Kirsten",KirstenKappert,Bündnis 90/Die Grünen,297,250,84.18
"Keul, Katja",KatjaKeul,Bündnis 90/Die Grünen,161,135,83.85
"Stumpp, Margit",margit_stumpp,Bündnis 90/Die Grünen,644,481,74.69
"Biadacz, Marc",MBiadaczMdB,CDU,246,190,77.24
"Knoerig, Axel",axel_knoerig,CDU,16,16,100.0
"Mast, Katja",KatjaMast,SPD,963,822,85.36
"Müntefering, Michelle",Mi_Muentefering,SPD,748,607,81.15
"Silberhorn, Thomas",SilberhornMdB,CSU,153,110,71.9
"Schreiber, Eva-Maria",MdB_Schreiber,Die Linke,432,375,86.81
"Straetmanns, Friedrich",FrStraetmanns,Die Linke,615,523,85.04
"Busen, Karlheinz",busen_mdb,FDP,23,16,69.57
"Djir-Sarai, Bijan",DjirSarai,FDP,301,240,79.73
"in der Beek, Olaf",olafinderbeek,FDP,346,260,75.14
"Willkomm, Katharina",k_willkomm,FDP,566,450,79.51
"Mansmann, Till",TillMansmann,FDP,48,43,89.58
"Müller, Alexander",alexmuellerfdp,FDP,449,360,80.18
"Reinhold, Hagen",reinholdmdb,FDP,933,838,89.82
"Skudelny, Judith",JudithSkudelny,FDP,261,236,90.42
"Dilcher, Esther",EstherDilcher,SPD,0,0,0
"Aggelidis, Grigorios",aggelidis_fdp,FDP,212,194,91.51
"Hollnagel, Dr. Bruno",DrHollnagel,AfD,44,44,100.0
"Wiehle, Wolfgang",WolfgangWiehle,AfD,376,376,100.0
"Heilmann, Prof. Thomas",ThomasHeilmann,CDU,197,169,85.79
"Hocker, Dr. Gero",GeroHocker,FDP,292,242,82.88
"Müller, Hansjörg Gerhard Georg",MdB_Mueller_AfD,AfD,112,111,99.11
"Müller-Rosentritt, Frank",theliberalfrank,FDP,276,263,95.29
"Neumann, Prof. Dr. Martin",_MartinNeumann,FDP,1368,1019,74.49
"Rottmann, Dr. Manuela",ManuelaRottman,Bündnis 90/Die Grünen,1282,1212,94.54
"Alt, Renata",RenataAlt_MdB,FDP,546,467,85.53
"Dassler, Britta",BrittaDassler,FDP,40,39,97.5
"Klein, Karsten",MdBKlein,FDP,288,260,90.28
"Westig, Nicole",NicoleWestig,FDP,131,100,76.34
"Völlers, Marja-Liisa",MarjaVoellers,SPD,383,304,79.37
"Herbrand, Markus",HerbrandMarkus,FDP,287,213,74.22
"Ihnen, Ulla",ullaihnen,FDP,118,91,77.12
"Kießling, Michael",Kiessling_MdB,CSU,10,10,100.0
"Lechte, Ulrich",ulrichlechte,FDP,290,265,91.38
"Ludwig, Daniela",DaniLudwigMdB,CSU,1165,834,71.59
"Mohamed Ali, Amira",Amira_M_Ali,Die Linke,188,178,94.68
"Ploß, Dr. Christoph ",christophploss,CDU,498,467,93.78
"Schlund, Dr. Robby",DrRobbySchlund,AfD,0,0,0
"Röttgen, Dr. Norbert",n_roettgen,CDU,1768,1580,89.37
"Sauter, Christian",Chr_Sauter,FDP,8,8,100.0
"Seestern-Pauly, Matthias",mseesternpauly,FDP,41,36,87.8
"Throm, Alexander",alexander_throm,CDU,130,96,73.85
"Malsack-Winkemann, Dr. Birgit",MalsackWinkeman,AfD,198,198,100.0
"Bauer, Nicole",nicole_ae_bauer,FDP,166,133,80.12
"Esdar, Wiebke",wiebkeesdar1,SPD,0,0,0
"Moll, Claudia",ClaudiaMollMdB,SPD,13,11,84.62
"Rachel, Thomas",_ThomasRachel,CDU,33,30,90.91
"Tatti, Jessica",jessica_tatti,Die Linke,6,6,100.0
"Ferschl, Susanne",SusanneFerschl,Die Linke,625,527,84.32
"Heidenblut, Dirk",DHeidenblut,SPD,5,5,100.0
"Hoffmann, Dr. Christoph",HoffmannForest,FDP,2448,1553,63.44
"Tillmann, Antje",AntjeTillmann,CDU,196,137,69.9
"Westphal, Bernd",BerndWestphal4,SPD,60,42,70.0
"Maag, Karin",MaagKarin,CDU,69,64,92.75
"Ryglewski, Sarah",RyglewskiS,SPD,100,81,81.0
"Hennrich, Michael",MichaelHennric2,CDU,15,15,100.0
"Motschmann, Elisabeth",ElisabethMotsc1,CDU,92,80,86.96
"Stegemann, Albert",StegemannAlbert,CDU,25,17,68.0
"Mackensen, Isabel",IsabelMackensen,SPD,61,49,80.33
"Heidt, Peter",PeterHeidtFDP,FDP,226,179,79.2
"Connemann, Gitta",gitta_connemann,CDU,195,149,76.41
"Fahimi, Yasmin",FahimiYasmin,SPD,151,134,88.74
"Gnodtke, Eckhard",EckhardGnodtke,CDU,71,71,100.0
"Patzelt, Martin",MPatzeltCDU,CDU,65,56,86.15
"Kulitz, Alexander",AKulitz,FDP,49,44,89.8
"Rützel, Bernd",ruetzelbernd,SPD,0,0,0
"Baumann, Dr. Bernd",BerndBaumannAfD,AfD,53,51,96.23
"Frei, Thorsten",thorsten_frei,CDU,18,17,94.44
"Grundl, Erhard",Erhard_Grundl,Bündnis 90/Die Grünen,282,228,80.85
"Hohmann, Martin",HohmannMdb,AfD,106,106,100.0
"Bubendorfer-Licht, Sandra",Bubendorferfdp,FDP,279,221,79.21
"Martens, Dr. Jürgen",juergen_martens,FDP,49,47,95.92
"Bach, Bela",bela_bach,SPD,129,108,83.72
"Freitag, Dagmar",DagmarFreitag13,SPD,1335,881,65.99
"Weingarten, Joe",DrJoeWeingarten,SPD,197,152,77.16
"Schneidewind-Hartnagel, Charlotte",charlotte_mdb,Bündnis 90/Die Grünen,20,18,90.0
"Zickenheiner, Gerhard",GZickenheiner,Bündnis 90/Die Grünen,111,105,94.59
"Monstadt, Dietrich",MdBMonstadt,CDU,0,0,0
"Vries, Christoph de",VriesChristoph,CDU,104,81,77.88
"Nölke, Matthias",Matthiasnoelke,FDP,64,50,78.12
"Martin, Dorothee",Doro_Martin,SPD,605,498,82.31
"Baradari, Nezahat",BaradariNezahat,SPD,0,0,0
"Lehmann, Sylvia",LehmannSpd,SPD,0,0,0
"Hilse, Karsten",HilseMdb,AfD,1,1,100.0
"Huber, Johannes",HuberMdB,AfD,167,139,83.23
"Krichbaum, Gunther",GuntherKrichba3,CDU,19,19,100.0
"Ludwig, Saskia",SaskiaLudwig17,CDU,408,273,66.91
"Möller, Siemtje",SiemtjeMdB,SPD,326,241,73.93
"Otten, Gerold",Gerold_Otten,AfD,73,71,97.26
"Kramp-Karrenbauer, Annegret",akk,CDU,210,171,81.43
"Klöckner, Julia",JuliaKloeckner,CDU,629,515,81.88
"Schulze, Svenja",SvenjaSchulze68,SPD,418,312,74.64
"Söder, Markus",Markus_Soeder,CSU,549,495,90.16
"Walter-Borjans, Norbert",NowaboFM,SPD,782,692,88.49
"Meuthen, Prof. Dr. Norbert",Joerg_Meuthen,AFD,351,345,98.29
"Beck, Volker",Volker_Beck,Bündnis 90/Die Grünen,5141,4389,85.37
"Polenz, Ruprecht",polenz_r,CDU,13199,11637,88.17
"Kühnert, Kevin",KuehniKev,SPD,3243,3039,93.71
"Stegner, Ralf",Ralf_Stegner,SPD,4253,3581,84.2
