name,created_at,word from wordlist,found word,original tweet,tweet
"Strengmann-Kuhn, Dr. Wolfgang",Fri Apr 10 11:16:37 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"@HanneloreKoenig @katdro @ToniHofreiter @GoeringEckardt @HajdukBundestag @GrueneBeate Genau das schlagen wir vor. Wer 1300 Euro netto hatte, soll 90% Kurzarbeitergeld und damit den höchsten Zuschlag bekommen. Hier im Detail zum Nachlesen:
https://t.co/vUNnDL87NU","['genau', 'schlagen', 'wer', 'euro', 'netto', 'kurzarbeitergeld', 'höchsten', 'zuschlag', 'bekommen', 'detail', 'nachlesen']"
"Strengmann-Kuhn, Dr. Wolfgang",Sun Apr 19 13:15:36 +0000 2020,coronakrise,coronakrise,"Auch in Deutschland merken wir gerade jetzt in der #CoronaKrise, an welchen und wie vielen Stellen das Existenzminimum nicht gesichert ist. 
Ein #Grundeinkommen würde diese Löcher im Sozialsystem stopfen.","['deutschland', 'merken', 'gerade', 'coronakrise', 'vielen', 'stellen', 'existenzminimum', 'gesichert', 'grundeinkommen', 'löcher', 'sozialsystem', 'stopfen']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Apr 22 09:16:47 +0000 2020,#soforthilfen,soforthilfen,"Streit um Soforthilfen für Kleinstunternehmen und Solo-Selbständige – Grüne fordern Änderungen
Der Bund muss dafür sorgen, dass aus den Zuschüssen 1180 Euro für den Lebensunterhalt verwendet werden dürfen.
@GruenClaudia @GoeringEckardt 
https://t.co/FtkvwTN7Cs","['streit', 'soforthilfen', 'kleinstunternehmen', 'soloselbständige', 'grüne', 'fordern', 'änderungen', 'bund', 'dafür', 'sorgen', 'zuschüssen', 'euro', 'lebensunterhalt', 'verwendet', 'dürfen']"
"Strengmann-Kuhn, Dr. Wolfgang",Thu Apr 23 05:13:18 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"Für kleine Einkommen reicht das nicht. 
Sie brauchen mehr als 80% #Kurzarbeitergeld, und zwar nicht erst nach sechs Monaten, sondern sofort!
https://t.co/tK7Rvoa62c","['kleine', 'einkommen', 'reicht', 'brauchen', 'mehr', 'kurzarbeitergeld', 'erst', 'sechs', 'monaten', 'sofort']"
"Strengmann-Kuhn, Dr. Wolfgang",Fri Apr 24 13:21:44 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"Kommentar von @stefansell zum #Kurzarbeitergeld - und warum unser grüner Vorschlag eines #KurzarbeitergeldPlus  besser gewesen wäre als der Beschluss der #GroKo. 
@GrueneBundestag @GrueneBeate @GoeringEckardt @HajdukBundestag @ToniHofreiter","['kommentar', 'kurzarbeitergeld', 'warum', 'grüner', 'vorschlag', 'kurzarbeitergeldplus', 'besser', 'wäre', 'beschluss', 'groko']"
"Strengmann-Kuhn, Dr. Wolfgang",Fri Apr 24 16:10:06 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"Das #Kurzarbeitergeld muss nachgebessert werden. Es sollte gezielt für kleine bis mittlere Einkommensbereiche angehoben werden. Das ist notwendig, damit die Menschen aufgrund der Corona-Pandemie nicht in die #Armut abgleiten. #KurzarbeitergeldPlus 
https://t.co/SAi6P6WxMW","['kurzarbeitergeld', 'nachgebessert', 'gezielt', 'kleine', 'mittlere', 'einkommensbereiche', 'angehoben', 'notwendig', 'menschen', 'aufgrund', 'coronapandemie', 'armut', 'abgleiten', 'kurzarbeitergeldplus']"
"Strengmann-Kuhn, Dr. Wolfgang",Sun May 03 08:19:29 +0000 2020,corona,corona,"""Auf ihrem virtuellen Parteitag sortiert sich die Partei neu und rückt Themen wie soziale Gerechtigkeit in den Mittelpunkt""
@Die_Gruenen zeigen, dass Demokratie auch in Zeiten von Corona funktioniert. Am Ende haben sich 30 000 Menschen zugeschaltet. 
https://t.co/VXtUYt9YOt","['virtuellen', 'parteitag', 'sortiert', 'partei', 'neu', 'rückt', 'themen', 'soziale', 'gerechtigkeit', 'mittelpunkt', 'zeigen', 'demokratie', 'zeiten', 'corona', 'funktioniert', 'ende', 'menschen', 'zugeschaltet']"
"Strengmann-Kuhn, Dr. Wolfgang",Fri May 15 16:37:51 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"Die Sozialschutzpakete der Bundesregierung gehen an den Schwächsten vorbei:
- Das #Kurzarbeitergeld muss für Menschen mit geringen Einkommen stärker angehoben werden, und zwar sofort
- #Obdachlose müssen besser unterstützt und geschützt werden 
 
https://t.co/4KaOs17QhN","['sozialschutzpakete', 'bundesregierung', 'gehen', 'schwächsten', 'vorbei', 'kurzarbeitergeld', 'menschen', 'geringen', 'einkommen', 'stärker', 'angehoben', 'sofort', 'obdachlose', 'müssen', 'besser', 'unterstützt', 'geschützt']"
"Strengmann-Kuhn, Dr. Wolfgang",Fri May 15 16:44:17 +0000 2020,kurzarbeitergeld,kurzarbeitergeldplus,"Hier meine Zwischenbemerkung zum Nachlesen und Links zu unseren Anträgen zu diesen beiden Punkten:
- Antrag #KurzarbeitergeldPlus einführen
- Allen Wohnungslosen schnell und unbürokratisch helfen
#Kurzarbeitergeld #Wohnungslosigkeit #Obdachlosigkeit 
https://t.co/MKee2iU8V4","['zwischenbemerkung', 'nachlesen', 'links', 'anträgen', 'beiden', 'punkten', 'antrag', 'kurzarbeitergeldplus', 'einführen', 'wohnungslosen', 'schnell', 'unbürokratisch', 'helfen', 'kurzarbeitergeld', 'wohnungslosigkeit', 'obdachlosigkeit']"
"Strengmann-Kuhn, Dr. Wolfgang",Fri Jun 19 19:30:27 +0000 2020,coronapandemie,coronapandemie,"Unsere Wirtschaftsweise muss sich verändern – das war schon durch die #Klimakrise klar, und die #Corona-Pandemie hat uns noch einmal deutlich gezeigt, wie verletzbar wir sind. 
Sehr lesenswertes Interview mit Reinhard Loske
https://t.co/VDMEMTMMFa","['wirtschaftsweise', 'verändern', 'schon', 'klimakrise', 'klar', 'coronapandemie', 'deutlich', 'gezeigt', 'verletzbar', 'lesenswertes', 'interview', 'reinhard', 'loske']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Aug 26 06:34:40 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"So ist das. 
Aufschlag zur #Grundsicherung, existenzsicherndes Kurzarbeitergeld, existenzsichernde Leistungen für #Selbständige, #Existenzgeld für Künstler*innen, (befristetes) #Grundeinkommen - alles wäre besser gewesen als die Senkung der #Mehrwertsteuer","['aufschlag', 'grundsicherung', 'existenzsicherndes', 'kurzarbeitergeld', 'existenzsichernde', 'leistungen', 'selbständige', 'existenzgeld', 'künstler', 'innen', 'befristetes', 'grundeinkommen', 'wäre', 'besser', 'senkung', 'mehrwertsteuer']"
"Strengmann-Kuhn, Dr. Wolfgang",Thu Sep 10 15:52:01 +0000 2020,coronakrise,coronakrise,"Nicht zuletzt die Corona-Krise zeigt: Wir brauchen ein Update der #Arbeitslosenversicherung in Richtung #Arbeitsversicherung, auch um #Selbständige besser abzusichern. 
Artikel mit Statements von @GruenClaudia und mir.   

https://t.co/T0qJZcZ2Rh","['zuletzt', 'coronakrise', 'zeigt', 'brauchen', 'update', 'arbeitslosenversicherung', 'richtung', 'arbeitsversicherung', 'selbständige', 'besser', 'abzusichern', 'artikel', 'statements']"
"Strengmann-Kuhn, Dr. Wolfgang",Mon Oct 19 16:11:39 +0000 2020,coronavirus,coronavirus,"Ich lese gerade, dass sich die hessische Ministerin für Wissenschaft und Kunst, @Angela_Dorn, mit dem Corona-Virus infiziert hat. 
Ich wünsche Dir, liebe Angela, gute Besserung, einen milden Verlauf und auch alles Gute für Deine Familie! 

https://t.co/LIwkmOiIv4","['lese', 'gerade', 'hessische', 'ministerin', 'wissenschaft', 'kunst', 'coronavirus', 'infiziert', 'wünsche', 'liebe', 'angela', 'gute', 'besserung', 'milden', 'verlauf', 'gute', 'familie']"
"Strengmann-Kuhn, Dr. Wolfgang",Sun Oct 25 09:32:26 +0000 2020,pandemie,pandemic,"Ist zur Zeit auch mein Lieblingsspiel ;-)
gemeinsam gegen den Virus #Pandemic","['zeit', 'lieblingsspiel', 'gemeinsam', 'virus', 'pandemic']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Nov 18 11:37:10 +0000 2020,#coronamassnahmen,coronamaßnahmen,"Die Debatte zu den #Corona-Maßnahmen ist da, wo sie hingehört: im Parlament! #Bundestag   
AFD wollte erst die Debatte verhindern, jetzt erzählt Gauland wie üblich Unsinn. Das darf er auch, so ist das in einer Demokratie.","['debatte', 'coronamaßnahmen', 'hingehört', 'parlament', 'bundestag', 'afd', 'erst', 'debatte', 'verhindern', 'erzählt', 'gauland', 'üblich', 'unsinn', 'darf', 'demokratie']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Nov 18 15:16:12 +0000 2020,#coronamassnahmen,coronamaßnahmen,"Heute hat der Bundestag für die einzelnen Corona-Maßnahmen eine gesetzliche Grundlage geschaffen. Endlich. Zu den Gründen, warum wir zugestimmt haben, obwohl wir auch noch Kritik haben, empfehle ich die Rede meiner Kollegin @ManuelaRottman   

https://t.co/4RoIIjIJcs","['heute', 'bundestag', 'einzelnen', 'coronamaßnahmen', 'gesetzliche', 'grundlage', 'geschaffen', 'endlich', 'gründen', 'warum', 'zugestimmt', 'obwohl', 'kritik', 'empfehle', 'rede', 'kollegin']"
"Strengmann-Kuhn, Dr. Wolfgang",Fri Dec 18 09:17:26 +0000 2020,pandemie,pandemie,"Letzte Veranstaltung im #Bundestag: 
Starke Rede von #UN-Generalsekretär António Guterres zur Pandemie, Klimapolitik und Frieden - und dazu, dass wir die Herausforderungen nur gemeinsam bewältigen können. https://t.co/pw1gS8SCqE","['letzte', 'veranstaltung', 'bundestag', 'starke', 'rede', 'ungeneralsekretär', 'antónio', 'guterres', 'pandemie', 'klimapolitik', 'frieden', 'herausforderungen', 'gemeinsam', 'bewältigen']"
"Strengmann-Kuhn, Dr. Wolfgang",Wed Dec 23 19:09:44 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"Kurz vor Weihnachten gibt es den letzten Newsletter von mir in diesem Jahr:
https://t.co/9hWuS3S3rR
Themen: 
#Arbeitsmarkt #Soloselbstständige #Kurzarbeitergeld, #Armut und #Ungleichheit
Entlastung von #Familien
#SozialesEuropa #Grundeinkommen #Weihnachtsappell 
Schöne Feiertage! https://t.co/L99jV8BKUD","['kurz', 'weihnachten', 'gibt', 'letzten', 'newsletter', 'jahr', 'themen', 'arbeitsmarkt', 'soloselbstständige', 'kurzarbeitergeld', 'armut', 'ungleichheit', 'entlastung', 'familien', 'sozialeseuropa', 'grundeinkommen', 'weihnachtsappell', 'schöne', 'feiertage']"
"Gysi, Dr. Gregor",Mon Mar 16 13:37:27 +0000 2020,coronavirus,coronavirus,"Das #Coronavirus führt uns noch einmal vor Augen, wie sehr wir aufeinander angewiesen sind. Gesundheit ist keine Ware. Krankenhäuser müssen sich nicht rechnen, sondern vornehmlich Menschen gesund machen. @superillu https://t.co/LjIuF2xj9c","['coronavirus', 'führt', 'augen', 'aufeinander', 'angewiesen', 'gesundheit', 'ware', 'krankenhäuser', 'müssen', 'rechnen', 'vornehmlich', 'menschen', 'gesund']"
"Gysi, Dr. Gregor",Tue Mar 17 12:28:23 +0000 2020,coronavirus,coronavirus,"Der Gesetzgeber muss eine Regelung festlegen, mit der künftig die soziale Absicherung von Selbständigen und Freiberuflern gewährleistet wird. Die Erfahrungen der Künstlersozialkasse sollen und können dabei genutzt werden. https://t.co/oxJB5WKE29 #Coronavirus","['gesetzgeber', 'regelung', 'festlegen', 'künftig', 'soziale', 'absicherung', 'selbständigen', 'freiberuflern', 'gewährleistet', 'erfahrungen', 'künstlersozialkasse', 'sollen', 'dabei', 'genutzt', 'coronavirus']"
"Gysi, Dr. Gregor",Fri Mar 27 07:50:06 +0000 2020,corona,corona,"Wir müssen aufpassen, dass die #Coronakrise nicht missbraucht wird, um #Demokratie abzubauen. Man kann vorübergehend Dinge immer anders machen, aber wirklich nur vorübergehend. Die Gesellschaft wird nach #Corona eine andere sein. @tonline_news https://t.co/f11a6gLc1d","['müssen', 'aufpassen', 'coronakrise', 'missbraucht', 'demokratie', 'abzubauen', 'vorübergehend', 'dinge', 'immer', 'wirklich', 'vorübergehend', 'gesellschaft', 'corona']"
"Gysi, Dr. Gregor",Mon Apr 20 14:52:23 +0000 2020,systemrelevant,systemrelevante,"Wir wollen systemrelevante Berufe besser bezahlen, @akk verschwendet Milliarden für neue Kampfflugzeuge, die Deutschland gar nicht benötigt. Trump wird sich wie verrückt freuen und rühmen, US-Rüstungskonzernen Aufträge verschafft zu haben, und so von seinem Unvermögen ablenken.","['systemrelevante', 'berufe', 'besser', 'bezahlen', 'verschwendet', 'milliarden', 'neue', 'kampfflugzeuge', 'deutschland', 'gar', 'benötigt', 'trump', 'verrückt', 'freuen', 'rühmen', 'usrüstungskonzernen', 'aufträge', 'verschafft', 'unvermögen', 'ablenken']"
"Gysi, Dr. Gregor",Mon Apr 27 15:14:07 +0000 2020,coronakrise,coronakrise,"Unser Wirtschaftssystem musste schon von der Coronakrise sozialer werden, aber erst recht nach der Coronakrise. @PluraPolit https://t.co/TqMwJVKKi6","['wirtschaftssystem', 'schon', 'coronakrise', 'sozialer', 'erst', 'recht', 'coronakrise']"
"Gysi, Dr. Gregor",Fri May 01 15:45:00 +0000 2020,pandemie,pandemie,"Der jetzt erlebte Demokratieabbau muss unverzüglich mit Beendigung der Krise und vollständig ohne eine einzige Ausnahme zurückgenommen werden. Die Pandemie darf nicht genutzt werden, um einen Demokratieabbau dauerhaft zu organisieren. Dafür sollten nach dem 1. Mai kämpfen. https://t.co/8wBEfdB4xN","['erlebte', 'demokratieabbau', 'unverzüglich', 'beendigung', 'krise', 'vollständig', 'einzige', 'ausnahme', 'zurückgenommen', 'pandemie', 'darf', 'genutzt', 'demokratieabbau', 'dauerhaft', 'organisieren', 'dafür', 'sollten', 'mai', 'kämpfen']"
"Gysi, Dr. Gregor",Thu May 07 19:11:15 +0000 2020,coronakrise,coronakrise,"Atombomber sind nicht systemrelevant. 18,5 Mrd. € für 138 neue Kampfflugzeuge fehlen für Investitionen und bessere Bezahlung in Gesundheit und Pflege, Bildung und Erziehung, Handel und Logistik und die Bewältigung der Coronakrise. Katastrophale Entscheidung stoppen! https://t.co/iURFBMkMkn","['atombomber', 'systemrelevant', 'mrd', 'neue', 'kampfflugzeuge', 'fehlen', 'investitionen', 'bessere', 'bezahlung', 'gesundheit', 'pflege', 'bildung', 'erziehung', 'handel', 'logistik', 'bewältigung', 'coronakrise', 'katastrophale', 'entscheidung', 'stoppen']"
"Gysi, Dr. Gregor",Mon May 11 07:08:45 +0000 2020,homeoffice,homeoffice,"Eine notwendige Regelung fürs #Homeoffice ändert nichts daran, dass wir uns zuerst darum kümmern müssen, dass Menschen in Gesundheit, Pflege, Handel, Bildung, Transport endlich ihrem Wert für unser Zusammenleben entsprechend bezahlt werden. @superillu https://t.co/fMKeMajWnV","['notwendige', 'regelung', 'fürs', 'homeoffice', 'ändert', 'daran', 'zuerst', 'darum', 'kümmern', 'müssen', 'menschen', 'gesundheit', 'pflege', 'handel', 'bildung', 'transport', 'endlich', 'wert', 'zusammenleben', 'entsprechend', 'bezahlt']"
"Gysi, Dr. Gregor",Fri May 15 09:25:04 +0000 2020,corona,corona,"Eine weltweite humanitäre Krise hatten wir schon lange vor Corona. Es wird jetzt nach dem Schuldigen für das Virus gesucht, um vom eigenen Versagen abzulenken. Politische und soziale Menschenrechte - die Bundesregierung redet lieber von den politischen - sind eine Einheit. https://t.co/Qpx2uTfPFf","['weltweite', 'humanitäre', 'krise', 'schon', 'lange', 'corona', 'schuldigen', 'virus', 'gesucht', 'eigenen', 'versagen', 'abzulenken', 'politische', 'soziale', 'menschenrechte', 'bundesregierung', 'redet', 'lieber', 'politischen', 'einheit']"
"Gysi, Dr. Gregor",Wed Nov 18 08:16:27 +0000 2020,infektionsschutzgesetz,infektionsschutzgesetz,Ich stimme heute gegen das #Infektionsschutzgesetz der Bundesregierung. Der Bundestag darf das Heft des Handelns nicht auf die Bundesregierung übertragen.,"['stimme', 'heute', 'infektionsschutzgesetz', 'bundesregierung', 'bundestag', 'darf', 'heft', 'handelns', 'bundesregierung', 'übertragen']"
"Gysi, Dr. Gregor",Wed Nov 18 08:16:28 +0000 2020,pandemie,pandemie,"Eine zeitweise Einschränkung von Grundrechten in der Pandemie darf es ohne strikte, demokratische Kontrolle und Zuständigkeit durch das Parlament nicht geben.","['zeitweise', 'einschränkung', 'grundrechten', 'pandemie', 'darf', 'strikte', 'demokratische', 'kontrolle', 'zuständigkeit', 'parlament', 'geben']"
"Gysi, Dr. Gregor",Fri Dec 11 14:58:06 +0000 2020,kurzarbeitergeld,kurzarbeitergeld,"Soloselbständige und Freiberufler brauchen eine andere, umfassendere soziale Absicherung als bisher. Wir brauchen eine Art Kurzarbeitergeld für Selbständige, jetzt finanziert aus Steuermitteln, später, indem die Arbeitslosenkasse für Selbständige geöffnet wird.","['soloselbständige', 'freiberufler', 'brauchen', 'umfassendere', 'soziale', 'absicherung', 'bisher', 'brauchen', 'art', 'kurzarbeitergeld', 'selbständige', 'finanziert', 'steuermitteln', 'später', 'arbeitslosenkasse', 'selbständige', 'geöffnet']"
"Gysi, Dr. Gregor",Sat Dec 12 09:20:08 +0000 2020,coronakrise,coronakrise,"Die Corona-Krise hat noch einmal deutlich gemacht, dass das Gesundheitssystem nicht den Profitinteressen von Krankenhauskonzernen und Pharmalobby unterworfen werden darf. Krankenhäuser müssen sich nicht rechnen, sondern die Menschen mit der bestmöglichen Versorgung gesund machen.","['coronakrise', 'deutlich', 'gemacht', 'gesundheitssystem', 'profitinteressen', 'krankenhauskonzernen', 'pharmalobby', 'unterworfen', 'darf', 'krankenhäuser', 'müssen', 'rechnen', 'menschen', 'bestmöglichen', 'versorgung', 'gesund']"
"Gysi, Dr. Gregor",Thu Dec 24 09:00:01 +0000 2020,corona,corona,"Was für ein herausforderndes, um nicht zu sagen verrücktes Jahr liegt hinter uns. Corona hat unser Leben völlig durcheinander gewirbelt. Ich wünsche Ihnen trotz alledem ein Frohes Fest zum Wohlfühlen, Erholen, Entspannen und auch zur Besinnung. Machen Sie das Beste draus! https://t.co/gzUpLLnPxG","['herausforderndes', 'sagen', 'verrücktes', 'jahr', 'liegt', 'corona', 'leben', 'völlig', 'durcheinander', 'gewirbelt', 'wünsche', 'trotz', 'alledem', 'frohes', 'fest', 'wohlfühlen', 'erholen', 'entspannen', 'besinnung', 'beste', 'draus']"
"Gysi, Dr. Gregor",Sun Dec 27 10:15:04 +0000 2020,pandemie,pandemie,"Alle #Grundrechte müssen mit Ende der #Pandemie vollständig wiederhergestellt werden. Die Pandemie darf nicht missbraucht werden, um Grundrechte dauerhaft einzuschränken. Darauf müssen Parlamentarier achten, dafür sind sie gewählt worden. @cicero_online https://t.co/Q3XXiixWCg https://t.co/ct3k8QzMHY","['grundrechte', 'müssen', 'ende', 'pandemie', 'vollständig', 'wiederhergestellt', 'pandemie', 'darf', 'missbraucht', 'grundrechte', 'dauerhaft', 'einzuschränken', 'darauf', 'müssen', 'parlamentarier', 'achten', 'dafür', 'gewählt', 'worden']"
"Heil, Hubertus",Sun Mar 08 22:03:46 +0000 2020,kurzarbeit,kurzarbeit,Angesichts der wirtschaftlichen Folgen von #COVID2019 werden im Interesse der Beschäftigten und der Unternehmen am Mittwoch im Bundeskabinett alle erweiterten Instrumente für Kurzarbeit ermöglicht. Dazu wird der Entwurf für das Arbeit-von-morgen-Gesetz ergänzt.,"['angesichts', 'wirtschaftlichen', 'folgen', 'covid', 'interesse', 'beschäftigten', 'unternehmen', 'mittwoch', 'bundeskabinett', 'erweiterten', 'instrumente', 'kurzarbeit', 'ermöglicht', 'entwurf', 'arbeitvonmorgengesetz', 'ergänzt']"
"Heil, Hubertus",Thu Mar 12 07:13:08 +0000 2020,coronakrise,coronakrise,Heil zur Corona-Krise: “Wir spannen einen Schutzschirm für Arbeitsplätze” https://t.co/rwwBcVTiB3,"['heil', 'coronakrise', 'spannen', 'schutzschirm', 'arbeitsplätze']"
"Heil, Hubertus",Fri Mar 13 09:20:01 +0000 2020,pandemie,pandemie,"Ich will mich ganz herzlich bei allen bedanken, die mit Hochdruck an der Bewältigung der #Covid_19 Pandemie arbeiten. Mein Dank geht auch an meine Kolleginnen und Kollegen im @BMAS_Bund und in allen Behörden und Einrichtungen in unserem Geschäftsbereich. Ihr macht einen Top-Job!","['ganz', 'herzlich', 'bedanken', 'hochdruck', 'bewältigung', 'covid_', 'pandemie', 'arbeiten', 'dank', 'geht', 'kolleginnen', 'kollegen', 'behörden', 'einrichtungen', 'geschäftsbereich', 'macht', 'topjob']"
"Heil, Hubertus",Fri Mar 13 13:26:31 +0000 2020,coronavirus,coronavirus,Ich habe eben (im Homeoffice) das heute beschlossene Gesetz zur #Kurzarbeit unterschrieben. Es wird jetzt der Kanzlerin und dann dem Bundespräsidenten zur Unterschrift vorgelegt und dann verkündet. #coronavirus ⁦@BMAS_Bund⁩ https://t.co/lGqxe9AVDR,"['eben', 'homeoffice', 'heute', 'beschlossene', 'gesetz', 'kurzarbeit', 'unterschrieben', 'kanzlerin', 'bundespräsidenten', 'unterschrift', 'vorgelegt', 'verkündet', 'coronavirus']"
