name,screen_name,party,total_tweets,covid_tweets,ratio
"Schweiger, Torsten",cdu_schweiger,CDU,14,3,21.43
"Seitz, Thomas",Th_Seitz_AfD,AfD,13,0,0
"Sichert, Martin",Martin_Sichert,AfD,248,54,21.77
"Simon, Björn",BjoernSimon,CDU,56,23,41.07
"Sitta, Frank",franksitta,FDP,22,2,9.09
"Solms, Dr. Hermann Otto",solms,FDP,100,11,11.0
"Sommer, Evrim",HESommer,Die Linke,830,119,14.34
"Spaniel, Dr. Dirk",DirkSpaniel,AfD,74,14,18.92
"Mieruch, Mario",MieruchMario,Fraktionslos,5089,241,4.74
"Staffler, Katrin",katrin_staffler,CSU,38,5,13.16
"Stark-Watzinger, Bettina",starkwatzinger,FDP,698,110,15.76
"Steier, Andreas",AndreasSteier,CDU,252,39,15.48
"Stein, Jens Mathias",stonie_kiel,SPD,429,10,2.33
"Stein, Peter",Peter_Stein_CDU,CDU,300,46,15.33
"Storch, Beatrix von",Beatrix_vStorch,AfD,411,86,20.92
"Strack-Zimmermann, Dr. Marie-Agnes",MAStrackZi,FDP,2591,88,3.4
"Strasser, Benjamin",bstrasser,FDP,376,37,9.84
"Suding, Katja",KatjaSuding,FDP,473,98,20.72
"Teuteberg, Linda",LindaTeuteberg,FDP,207,22,10.63
"Theurer, Michael",EUTheurer,FDP,379,52,13.72
"Thomae, Stephan",StephanThomae,FDP,532,89,16.73
"Tiemann, Dr. Dietlind",dr_tiemann,CDU,0,0,0
"Todtenhausen, Manfred",MTodtenhausen,FDP,49,5,10.2
"Toncar, Dr. Florian",florian_toncar,FDP,353,28,7.93
"Töns, Markus",Toens_NRW04,SPD,225,6,2.67
"Uhl, Markus",uhl_markus,CDU,1,0,0
"Ullmann, Prof. Dr. Andrew",UllmannMdB,FDP,814,248,30.47
"Vogel, Johannes",johannesvogel,FDP,2230,108,4.84
"Wagner, Andreas",Andi_Wagner,Die Linke,296,55,18.58
"Wagner, Daniela",DanyWagner_DA,Bündnis 90/Die Grünen,165,13,7.88
"Weeser, Sandra",sandra_weeser,FDP,2127,184,8.65
"Weidel, Dr. Alice",Alice_Weidel,AfD,323,103,31.89
"Weyel, Prof. Dr. Harald",h_weyel,AfD,831,41,4.93
"Wildberg, Dr. Heiko",Heiko_Wildberg,AfD,0,0,0
"Wirth, Dr. Christian Friedrich",ChrWirthMdB,AfD,63,1,1.59
"Witt, Uwe",Witt_Uwe,AfD,227,53,23.35
"Ziemiak, Paul",PaulZiemiak,CDU,570,88,15.44
"Braun, Jürgen",JuergenBraunAfD,AfD,1432,244,17.04
"Jacobi, Fabian",Jacobi_AfD,AfD,349,3,0.86
"König, Jörn",JoernKoenigAfD,AfD,0,0,0
"Magnitz, Frank",Frank_Magnitz,AfD,2,0,0
"Springer, René",Rene_Springer,AfD,76,8,10.53
"Kraft, Dr. Rainer",Dr_Rainer_Kraft,AfD,409,20,4.89
"Hoffmann, Dr. Bettina",bhoffmann_mdb,Bündnis 90/Die Grünen,200,5,2.5
"Kappert-Gonther, Dr. Kirsten",KirstenKappert,Bündnis 90/Die Grünen,250,27,10.8
"Keul, Katja",KatjaKeul,Bündnis 90/Die Grünen,135,3,2.22
"Stumpp, Margit",margit_stumpp,Bündnis 90/Die Grünen,481,52,10.81
"Biadacz, Marc",MBiadaczMdB,CDU,190,39,20.53
"Knoerig, Axel",axel_knoerig,CDU,16,2,12.5
"Mast, Katja",KatjaMast,SPD,822,138,16.79
"Müntefering, Michelle",Mi_Muentefering,SPD,607,28,4.61
"Silberhorn, Thomas",SilberhornMdB,CSU,110,16,14.55
"Schreiber, Eva-Maria",MdB_Schreiber,Die Linke,375,77,20.53
"Straetmanns, Friedrich",FrStraetmanns,Die Linke,523,91,17.4
"Busen, Karlheinz",busen_mdb,FDP,16,5,31.25
"Djir-Sarai, Bijan",DjirSarai,FDP,240,24,10.0
"in der Beek, Olaf",olafinderbeek,FDP,260,46,17.69
"Willkomm, Katharina",k_willkomm,FDP,450,19,4.22
"Mansmann, Till",TillMansmann,FDP,43,4,9.3
"Müller, Alexander",alexmuellerfdp,FDP,360,29,8.06
"Reinhold, Hagen",reinholdmdb,FDP,838,96,11.46
"Skudelny, Judith",JudithSkudelny,FDP,236,35,14.83
"Dilcher, Esther",EstherDilcher,SPD,0,0,0
"Aggelidis, Grigorios",aggelidis_fdp,FDP,194,37,19.07
"Hollnagel, Dr. Bruno",DrHollnagel,AfD,44,15,34.09
"Wiehle, Wolfgang",WolfgangWiehle,AfD,376,127,33.78
"Heilmann, Prof. Thomas",ThomasHeilmann,CDU,169,9,5.33
"Hocker, Dr. Gero",GeroHocker,FDP,242,27,11.16
"Müller, Hansjörg Gerhard Georg",MdB_Mueller_AfD,AfD,111,33,29.73
"Müller-Rosentritt, Frank",theliberalfrank,FDP,263,36,13.69
"Neumann, Prof. Dr. Martin",_MartinNeumann,FDP,1019,61,5.99
"Rottmann, Dr. Manuela",ManuelaRottman,Bündnis 90/Die Grünen,1212,61,5.03
"Alt, Renata",RenataAlt_MdB,FDP,467,87,18.63
"Dassler, Britta",BrittaDassler,FDP,39,10,25.64
"Klein, Karsten",MdBKlein,FDP,260,64,24.62
"Westig, Nicole",NicoleWestig,FDP,100,19,19.0
"Völlers, Marja-Liisa",MarjaVoellers,SPD,304,29,9.54
"Herbrand, Markus",HerbrandMarkus,FDP,213,31,14.55
"Ihnen, Ulla",ullaihnen,FDP,91,8,8.79
"Kießling, Michael",Kiessling_MdB,CSU,10,2,20.0
"Lechte, Ulrich",ulrichlechte,FDP,265,56,21.13
"Ludwig, Daniela",DaniLudwigMdB,CSU,834,65,7.79
"Mohamed Ali, Amira",Amira_M_Ali,Die Linke,178,31,17.42
"Ploß, Dr. Christoph ",christophploss,CDU,467,87,18.63
"Schlund, Dr. Robby",DrRobbySchlund,AfD,0,0,0
"Röttgen, Dr. Norbert",n_roettgen,CDU,1580,161,10.19
"Sauter, Christian",Chr_Sauter,FDP,8,0,0
"Seestern-Pauly, Matthias",mseesternpauly,FDP,36,8,22.22
"Throm, Alexander",alexander_throm,CDU,96,10,10.42
"Malsack-Winkemann, Dr. Birgit",MalsackWinkeman,AfD,198,79,39.9
"Bauer, Nicole",nicole_ae_bauer,FDP,133,22,16.54
"Esdar, Wiebke",wiebkeesdar1,SPD,0,0,0
"Moll, Claudia",ClaudiaMollMdB,SPD,11,0,0
"Rachel, Thomas",_ThomasRachel,CDU,30,5,16.67
"Tatti, Jessica",jessica_tatti,Die Linke,6,0,0
"Ferschl, Susanne",SusanneFerschl,Die Linke,527,112,21.25
"Heidenblut, Dirk",DHeidenblut,SPD,5,0,0
"Hoffmann, Dr. Christoph",HoffmannForest,FDP,1553,317,20.41
"Tillmann, Antje",AntjeTillmann,CDU,137,11,8.03
"Westphal, Bernd",BerndWestphal4,SPD,42,1,2.38
"Maag, Karin",MaagKarin,CDU,64,3,4.69
"Ryglewski, Sarah",RyglewskiS,SPD,81,13,16.05
"Hennrich, Michael",MichaelHennric2,CDU,15,0,0
"Motschmann, Elisabeth",ElisabethMotsc1,CDU,80,13,16.25
"Stegemann, Albert",StegemannAlbert,CDU,17,2,11.76
"Mackensen, Isabel",IsabelMackensen,SPD,49,0,0
"Heidt, Peter",PeterHeidtFDP,FDP,179,25,13.97
"Connemann, Gitta",gitta_connemann,CDU,149,36,24.16
"Fahimi, Yasmin",FahimiYasmin,SPD,134,2,1.49
"Gnodtke, Eckhard",EckhardGnodtke,CDU,71,4,5.63
"Patzelt, Martin",MPatzeltCDU,CDU,56,6,10.71
"Kulitz, Alexander",AKulitz,FDP,44,8,18.18
"Rützel, Bernd",ruetzelbernd,SPD,0,0,0
"Baumann, Dr. Bernd",BerndBaumannAfD,AfD,51,4,7.84
"Frei, Thorsten",thorsten_frei,CDU,17,0,0
"Grundl, Erhard",Erhard_Grundl,Bündnis 90/Die Grünen,228,53,23.25
"Hohmann, Martin",HohmannMdb,AfD,106,20,18.87
"Bubendorfer-Licht, Sandra",Bubendorferfdp,FDP,221,32,14.48
"Martens, Dr. Jürgen",juergen_martens,FDP,47,6,12.77
"Bach, Bela",bela_bach,SPD,108,20,18.52
"Freitag, Dagmar",DagmarFreitag13,SPD,881,43,4.88
"Weingarten, Joe",DrJoeWeingarten,SPD,152,8,5.26
"Schneidewind-Hartnagel, Charlotte",charlotte_mdb,Bündnis 90/Die Grünen,18,6,33.33
"Zickenheiner, Gerhard",GZickenheiner,Bündnis 90/Die Grünen,105,9,8.57
"Monstadt, Dietrich",MdBMonstadt,CDU,0,0,0
"Vries, Christoph de",VriesChristoph,CDU,81,6,7.41
"Nölke, Matthias",Matthiasnoelke,FDP,50,1,2.0
"Martin, Dorothee",Doro_Martin,SPD,498,25,5.02
"Baradari, Nezahat",BaradariNezahat,SPD,0,0,0
"Lehmann, Sylvia",LehmannSpd,SPD,0,0,0
"Hilse, Karsten",HilseMdb,AfD,1,0,0
"Huber, Johannes",HuberMdB,AfD,139,21,15.11
"Krichbaum, Gunther",GuntherKrichba3,CDU,19,0,0
"Ludwig, Saskia",SaskiaLudwig17,CDU,273,19,6.96
"Möller, Siemtje",SiemtjeMdB,SPD,241,13,5.39
"Otten, Gerold",Gerold_Otten,AfD,71,9,12.68
"Kramp-Karrenbauer, Annegret",akk,CDU,171,21,12.28
"Klöckner, Julia",JuliaKloeckner,CDU,515,40,7.77
"Schulze, Svenja",SvenjaSchulze68,SPD,312,32,10.26
"Söder, Markus",Markus_Soeder,CSU,495,210,42.42
"Walter-Borjans, Norbert",NowaboFM,SPD,692,46,6.65
"Meuthen, Prof. Dr. Norbert",Joerg_Meuthen,AFD,345,51,14.78
"Beck, Volker",Volker_Beck,Bündnis 90/Die Grünen,4389,197,4.49
"Polenz, Ruprecht",polenz_r,CDU,11637,1267,10.89
"Kühnert, Kevin",KuehniKev,SPD,3039,76,2.5
"Stegner, Ralf",Ralf_Stegner,SPD,3581,497,13.88
