name,screen_name,party,total_tweets,covid_tweets
"Spahn, Jens",jensspahn,CDU,314,163
"Spiering, Rainer",rainerspiering,SPD,0,0
"Stadler, Svenja",stadler_svenja,SPD,299,11
"Stamm-Fibich, Martina",stamm_fibich,SPD,28,5
"Steffel, Dr. Frank",franksteffel,CDU,34,2
"Steffen, Sonja",SteffenSonja,SPD,49,8
"Stefinger, Dr. Wolfgang",StefingerMdB,CSU,42,11
"Steineke, Sebastian",SteinekeCDU,CDU,2188,256
"Steiniger, Johannes",JoSteiniger,CDU,651,46
"Storjohann, Gero",gero_storjohann,CDU,128,20
"Strengmann-Kuhn, Dr. Wolfgang",W_SK,Bündnis 90/Die Grünen,283,35
"Tackmann, Dr. Kirsten",KirstenTackmann,Die Linke,570,18
"Tauber, Dr. Peter",petertauber,CDU,605,21
"Thews, Michael",michael_thews,SPD,406,97
"Träger, Carsten",CarstenTraeger,SPD,72,8
"Tressel, Markus",MarkusTressel,Bündnis 90/Die Grünen,201,41
"Trittin, Jürgen",JTrittin,Bündnis 90/Die Grünen,869,130
"Ullrich, Dr. Volker",VolkerUllrich,CSU,344,41
"Verlinden, Dr. Julia",julia_verlinden,Bündnis 90/Die Grünen,456,16
"Vogler, Kathrin",voglerk,Die Linke,701,64
"Vogt, Ute",UteVogt,SPD,80,6
"Vries, Kees de",KEESdeVriesCDU,CDU,0,0
"Wagenknecht, Dr. Sahra",SWagenknecht,Die Linke,236,93
"Walter-Rosenheimer, Beate",BeateWaRo,Bündnis 90/Die Grünen,42,4
"Wadephul, Dr. Johann",JoWadephul,CDU,268,13
"Wanderwitz, Marco",wanderwitz,CDU,1504,141
"Warken, Nina",ninawarken,CDU,79,1
"Weber, Gabi",GabiWeberSPD,SPD,10,1
"Wegner, Kai",kaiwegner,CDU,435,88
"Weinberg, Harald",HaraldWeinberg,Die Linke,0,0
"Weinberg, Marcus",MarcusWeinberg,CDU,194,37
"Weisgerber, Dr. Anja",anjaweisgerber,CSU,148,30
"Weiß, Peter",PeterWeissMdB,CDU,0,0
"Wellenreuther, Ingo",Wellenreuther,CDU,0,0
"Wendt, Marian",MdbWendt,CDU,430,55
"Werner, Katrin",Katrin_Werner,Die Linke,164,40
"Whittaker, Kai",Kai_Whittaker,CDU,435,104
"Widmann-Mauz, Annette",AWidmannMauz,CDU,397,60
"Wiese, Dirk",DirkWieseSPD,SPD,746,89
"Zdebel, Hubertus",ZdebelHubertus,Die Linke,91,32
"Zech, Tobias",TobiasZech,CSU,11,2
"Zierke, Stefan",zierke,SPD,0,0
"Zimmer, Prof. Dr. Matthias",matthiaszimmer,CDU,176,8
"Zimmermann, Dr. Jens",JensZSPD,SPD,815,106
"Müller, Detlef",MuellerChemnitz,SPD,854,89
"Abercron, Dr. Michael von",mvabercron,CDU,106,20
"Achelwilm, Doris",DorisAchelwilm,Die Linke,400,56
"Akbulut, Gökay",AkbulutGokay,Die Linke,509,86
"Aschenberg-Dugnus, Christine",cad59,FDP,211,84
"Aumer, Peter",PeterAumer,CSU,4,0
"Badum, Lisa",badulrichmartha,Bündnis 90/Die Grünen,133,8
"Barrientos Krauss, Simone",SBarrientosK,Die Linke,266,44
"Bause, Margarete",MargareteBause,Bündnis 90/Die Grünen,131,10
"Bayaz, Dr. Danyal",DerDanyal,Bündnis 90/Die Grünen,1437,195
"Bayram, Canan",LieblingXhain,Bündnis 90/Die Grünen,1317,182
"Beeck, Jens",jensbeeck,FDP,43,16
"Bernhard, Marc",MarcBernhardAfD,AfD,365,98
"Bernstiel, Christoph",c_bernstiel,CDU,12,3
"Beutin, Lorenz Gösta",lgbeutin,Die Linke,3283,464
"Beyer, Peter",Peter_Beyer,CDU,236,64
"Bleck, Andreas",AndreasBleckMdB,AfD,102,10
"Boehringer, Peter",PeterBoehringer,AfD,110,55
"Brandenburg, Dr. Jens",JBrandenburgFDP,FDP,536,49
"Brandenburg, Mario",BraFDP,FDP,385,53
"Brandner, Stephan",StBrandner,AfD,4382,232
"Brandt, Michel",michel_brandt_,Die Linke,554,63
"Brehm, Sebastian",Brehm_inNBGNord,CSU,1,1
"Breymaier, Leni",LeniBreymaier,SPD,410,49
"Brandl, Dr. Reinhard",reinhardbrandl,CSU,1,0
"Bühl, Marcus",Marcus_Buehl,AfD,185,27
"Bull-Bischoff, Birke",Birke_Bull,Die Linke,79,9
"Buschmann, Dr. Marco",MarcoBuschmann,FDP,4797,468
"Büttner, Matthias",Buettner_MdB,AfD,85,25
"Bystron, Petr",PetrBystronAfD,AfD,768,43
"Cezanne, Jörg",joerg_cezanne,Die Linke,25,1
"Christmann, Dr. Anna",annachristmann,Bündnis 90/Die Grünen,334,84
"Cotar, Joana",JoanaCotar,AfD,1869,263
"Curio, Dr. Gottfried",GottfriedCurio,AfD,132,19
"De Masi, Fabio",FabioDeMasi,Die Linke,5823,742
"Domscheit-Berg, Anke",anked,Die Linke,3146,634
"Chrupalla, Tino",Tino_Chrupalla,AfD,308,87
"Droese, Siegbert",Siegbert_Droese,AfD,0,0
"Dürr, Christian",christianduerr,FDP,377,55
"Ebbing, Hartmut",HartmutEbbing,FDP,161,37
"Ehrhorn, Thomas",Thomas_Ehrhorn,AfD,24,0
"Elsner von Gronow, Berengar",ElsnervonGronow,AfD,138,19
"Erndl, Thomas",TErndl,CSU,174,26
"Espendiller, Dr. Michael",DrMEspendiller,AfD,653,90
"Faber, Dr. Marcus",MarcusFaber,FDP,323,34
"Felser, Peter",PeterFelser,AfD,184,48
"Schmidt, Stefan",Schmidt_MdB,Bündnis 90/Die Grünen,88,5
"Föst, Daniel",DFoest,FDP,1566,185
"Fricke, Otto",Otto_Fricke,FDP,2075,66
"Friesen, Dr. Anton",DrFriesenMdB,AfD,407,113
"Frohnmaier, Markus",Frohnmaier_AfD,AfD,154,25
"Frömming, Dr. Götz",GtzFrmming,AfD,1884,269
"Gabelmann, Sylvia",SylviaGabelmann,Die Linke,134,42
"Gehrke, Dr. Axel",axelgehrke,AfD,5,2
"Gelbhaar, Stefan",StefanGelbhaar,Bündnis 90/Die Grünen,780,50
"Gottberg, Wilhelm von",vonGottberg_AfD,AfD,0,0
"Gottschalk, Kay",KayGottschalk1,AfD,199,16
"Gremmels, Timon",Timon_Gremmels,SPD,809,90
"Jensen, Gyde",GydeJ,FDP,542,74
"Hacker, Thomas",hacker_fdp,FDP,210,45
"Hagl-Kehl, Rita",RitaHaglKehl,SPD,4,2
"Harder-Kühnel, Mariana",M_HarderKuehnel,AfD,76,8
"Hartwig, Dr. Roland",R_Hartwig_AfD,AfD,147,10
"Haug, Jochen",Jochen_Haug,AfD,4,1
"Helling-Plahr, Katrin",KatrinHelling,FDP,265,30
"Hemmelgarn, Udo",UdoHemmelgarn,AfD,1173,319
"Henrichmann, Marc",MarcHenrichmann,CDU,236,54
"Herbst, Torsten",torstenherbst,FDP,436,115
"Herdt, Waldemar",WaldemarHerdt,AfD,0,0
"Herrmann, Lars",hermiworld,AfD,14,1
"Hess, Martin",Martin_Hess_AfD,AfD,234,29
"Hessel, Katja",fdp_hessel,FDP,75,19
"Höchst, Nicole",Nicole_Hoechst,AfD,160,32
"Höferlin, Manuel",ManuelHoeferlin,FDP,192,30
"Höhn, Matthias",MatthiasHoehn,Die Linke,394,30
"Holm, Leif-Erik",Leif_Erik_Holm,AfD,66,14
"Holtz, Ottmar von",OWvonHoltz,Bündnis 90/Die Grünen,103,10
"Houben, Reinhard",HoubenReinhard,FDP,116,15
"Jongen, Dr. Marc",Marc_Jongen,AfD,58,16
"Jung, Dr. Christian",c_jung77,FDP,1578,266
"Jung, Ingmar",Ingmar_Jung,CDU,8,1
"Juratovic, Josip",josip_juratovic,SPD,61,8
"Kaiser, Elisabeth",Kaiser_SPD,SPD,235,38
"Kartes, Torbjörn",KartesMdB,CDU,22,7
"Katzmarek, Gabriele",GabyKatzmarek,SPD,19,0
"Kessler, Dr. Achim",AchimKesslerMdB,Die Linke,691,184
"Kestner, Jens",KestnerJens,AfD,251,11
"Keuter, Stefan",StefanKeuterAfD,AfD,0,0
"Kleinwächter, Norbert",NKleinwaechter,AfD,145,45
"Kluckert, Daniela",DanielaKluckert,FDP,432,101
"Kober, Pascal",PascalKober,FDP,62,11
"Köhler, Dr. Lukas",koehler_fdp,FDP,459,26
"Komning, Enrico",EnricoKomning,AfD,30,3
"Konrad, Carina",carina_konrad,FDP,415,81
"Korkmaz-Emre, Elvan",KorkmazGT,SPD,197,11
"Kotré, Steffen",SteffenKotre,AfD,155,18
"Krauß, Alexander",kraussalex,CDU,0,0
"Kuffer, Michael",MichaelKuffer,CSU,10,0
"Kuhle, Konstantin Elias",KonstantinKuhle,FDP,1611,182
"Lambsdorff, Alexander Graf",Lambsdorff,FDP,1045,102
"Lehmann, Sven",svenlehmann,Bündnis 90/Die Grünen,917,110
"Lindh, Helge",helgelindh,SPD,248,53
"Lindner, Christian",c_lindner,FDP,1212,241
"Link, Michael",michael_g_link,FDP,133,18
"Löbel, Nikolas",NikolasLoebel,CDU,191,28
"Lucassen, Rüdiger",MdB_Lucassen,AfD,26,6
"Luksic, Oliver",OlliLuksic,FDP,2639,505
"Maas, Heiko",HeikoMaas,SPD,674,190
"Maier, Jens",JensMaierAfD,AfD,405,65
"Maier, Prof. Dr. Lothar",ProfMaier,AfD,117,29
"Matschie, Christoph",matschie,SPD,74,9
"Meiser, Pascal",pascalmeiser,Die Linke,187,46
"Meyer, Christoph",ChristophFDP,FDP,1148,137
"Miazga, Corinna",CorinnaMiazga,AfD,78,29
"Mohrs, Falko",FalkoMohrs,SPD,55,6
"Mrosek, Andreas",mrosek1958,AfD,278,20
"Müller, Claudia",GruenClaudia,Bündnis 90/Die Grünen,692,61
"Müller, Sepp",mueller_sepp,CDU,406,60
"Müller-Böhm, Roman",muellerboehm,FDP,4,3
"Münzenmaier, Sebastian",S_Muenzenmaier,AfD,440,137
"Nastic, Zaklin",ZaklinNastic,Die Linke,434,60
"Freihold, Brigitte",MdB_Freihold,Die Linke,230,48
"Nestle, Dr. Ingrid",Ingrid_Nestle,Bündnis 90/Die Grünen,412,45
"Neumann, Christoph",Neumann_AfD,AfD,0,0
"Nolte, Jan",Jan_Nolte_AfD,AfD,115,5
"Oehme, Ulrich",Ulrich_Oehme,AfD,0,0
"Ortleb, Josephine",joloulou,SPD,42,5
"Oster, Josef",josefoster,CDU,2,0
"Pasemann, Frank",Frank_Pasemann,AfD,397,35
"Pellmann, Sören",LINKEPELLI,Die Linke,797,133
"Perli, Victor",victorperli,Die Linke,690,102
"Peterka, Tobias",TobiasMPeterka,AfD,482,117
"Petry, Dr. Frauke",FraukePetry,Fraktionslos,588,59
"Pflüger, Tobias",tpflueger,Die Linke,110,11
"Pilsinger, Stephan",StephPilsinger,CSU,13,7
"Podolay, Paul Viktor",Paul_Podolay,AfD,3,1
"Pohl, Jürgen",Pohl_MdB,AfD,63,11
"Polat, Filiz",filizgreen,Bündnis 90/Die Grünen,558,75
"Protschka, Stephan",AfDProtschka,AfD,966,188
"Reichardt, Martin",M_Reichardt_AfD,AfD,816,126
"Remmers, Ingrid",Ingrid_Remmers,Die Linke,44,2
"Renner, Martin Erwin",Renner_AfD,AfD,199,25
"Riexinger, Bernd",b_riexinger,Die Linke,558,129
"Reuther, Bernd",reuther_bernd,FDP,129,22
"Ullrich, Gerald",G_UllrichFDP,FDP,379,106
"Rouenhoff, Stefan",StefanRouenhoff,CDU,21,2
"Sattelberger, Thomas",th_sattelberger,FDP,2119,275
"Schäfer, Anita",SchaeferCDU,CDU,0,0
"Schäffler, Frank",f_schaeffler,FDP,847,95
"Scheer, Nina",NinaScheer_SPD,SPD,34,5
"Schielke-Ziesing, Ulrike",ulschzi,AfD,316,63
"Schinnenburg, Dr. Wieland",WSchinnenburg,FDP,211,42
"Schmid, Dr. Nils",NilsSchmid,SPD,480,90
"Schneider, Jörg",Schneider_AfD,AfD,348,45
"Schraps, Johannes",jschraps,SPD,37,5
"Schreiner, Felix",felixschreiner,CDU,78,21
"Schrodi, Michael",mischrodi,SPD,211,21
"Schulz, Martin",MartinSchulz,SPD,47,13
"Schulz, Uwe",Uwe_Schulz_AfD,AfD,25,8
"Schweiger, Torsten",cdu_schweiger,CDU,14,3
"Seitz, Thomas",Th_Seitz_AfD,AfD,14,0
"Sichert, Martin",Martin_Sichert,AfD,247,57
"Simon, Björn",BjoernSimon,CDU,56,25
"Sitta, Frank",franksitta,FDP,22,2
"Solms, Dr. Hermann Otto",solms,FDP,100,12
"Sommer, Evrim",HESommer,Die Linke,830,158
"Spaniel, Dr. Dirk",DirkSpaniel,AfD,74,18
"Mieruch, Mario",MieruchMario,Fraktionslos,5183,272
"Staffler, Katrin",katrin_staffler,CSU,38,7
"Stark-Watzinger, Bettina",starkwatzinger,FDP,707,131
"Steier, Andreas",AndreasSteier,CDU,255,46
"Stein, Jens Mathias",stonie_kiel,SPD,437,16
"Stein, Peter",Peter_Stein_CDU,CDU,316,51
"Storch, Beatrix von",Beatrix_vStorch,AfD,414,107
"Strack-Zimmermann, Dr. Marie-Agnes",MAStrackZi,FDP,2595,106
"Strasser, Benjamin",bstrasser,FDP,376,44
"Suding, Katja",KatjaSuding,FDP,473,120
"Teuteberg, Linda",LindaTeuteberg,FDP,208,30
"Theurer, Michael",EUTheurer,FDP,379,64
"Thomae, Stephan",StephanThomae,FDP,537,104
"Tiemann, Dr. Dietlind",dr_tiemann,CDU,0,0
"Todtenhausen, Manfred",MTodtenhausen,FDP,49,8
"Toncar, Dr. Florian",florian_toncar,FDP,358,33
"Töns, Markus",Toens_NRW04,SPD,223,6
"Uhl, Markus",uhl_markus,CDU,1,1
"Ullmann, Prof. Dr. Andrew",UllmannMdB,FDP,822,348
"Vogel, Johannes",johannesvogel,FDP,2226,126
"Wagner, Andreas",Andi_Wagner,Die Linke,301,66
"Wagner, Daniela",DanyWagner_DA,Bündnis 90/Die Grünen,169,14
"Weeser, Sandra",sandra_weeser,FDP,2142,232
"Weidel, Dr. Alice",Alice_Weidel,AfD,325,122
"Weyel, Prof. Dr. Harald",h_weyel,AfD,821,49
"Wildberg, Dr. Heiko",Heiko_Wildberg,AfD,0,0
"Wirth, Dr. Christian Friedrich",ChrWirthMdB,AfD,63,3
"Witt, Uwe",Witt_Uwe,AfD,229,64
"Ziemiak, Paul",PaulZiemiak,CDU,573,111
"Braun, Jürgen",JuergenBraunAfD,AfD,1451,301
"Jacobi, Fabian",Jacobi_AfD,AfD,352,4
"König, Jörn",JoernKoenigAfD,AfD,0,0
"Magnitz, Frank",Frank_Magnitz,AfD,2,0
"Springer, René",Rene_Springer,AfD,75,11
"Kraft, Dr. Rainer",Dr_Rainer_Kraft,AfD,404,25
"Hoffmann, Dr. Bettina",bhoffmann_mdb,Bündnis 90/Die Grünen,200,6
"Kappert-Gonther, Dr. Kirsten",KirstenKappert,Bündnis 90/Die Grünen,250,34
"Keul, Katja",KatjaKeul,Bündnis 90/Die Grünen,135,3
"Stumpp, Margit",margit_stumpp,Bündnis 90/Die Grünen,483,65
"Biadacz, Marc",MBiadaczMdB,CDU,191,44
"Knoerig, Axel",axel_knoerig,CDU,16,3
"Mast, Katja",KatjaMast,SPD,831,174
"Müntefering, Michelle",Mi_Muentefering,SPD,610,67
