tweet_id,tweet_content,annotation_sentiment,annotation_emotion,annotation_qualifier
1239325197620195328,"„Viele Corona-Infektionen in Europa sollen bis in den österreichischen Ort Ischgl zurückzuverfolgen sein. Als ein Land längst warnte, ging der Skispaß trotzdem noch acht Tage weiter.“  Dankeschön, Sebastian Kurz. Für nichts.    https://t.co/BK61ZUiz6w https://t.co/xpOBF9wuoa",negative,anger,frustration
1245079034842710017,"Nach der #Coronakrise können wir uns ja dann vielleicht alle darauf einigen:  der #Markt regelt einen Scheiss.  Er regelt Schutzmasken nicht. Beatmungsgeräte nicht. Schutzkleidung nicht. Personal nicht. Krankenhausbetten nicht. Intensivbetten nicht.  Nix kann er, der Markt.",negative,disgust,frustration
1239840844963811329,"#Coronavirus: Wie ist es möglich, dass #BuReg nach zu langem Zögern endlich Grenzen, Schulen &amp; Cafés schließt, aber der #Krisenstab der #BuReg immer noch nicht in der Lage ist, die ankommenden Flugpassagiere aus #Risikoregionen kontrollieren zu lassen? https://t.co/45XeQhCyc8",negative,anger,frustration
1330450670802100225,Warum #Querdenker und andere #Corona-Demonstranten weder #AnneFrank noch #sophiescholl sind - der große Vergleich:  #janaauskassel #HaltDieFresseJana https://t.co/cUutxtTPdc,negative,disgust,frustration
1330460397032366082,"Wer sich heute mit Sophie Scholl o Anne Frank vergleicht,verhöhnt den Mut, den es brauchte,Haltung gegen Nazis zu zeigen.   Das verharmlost den Holocaust und zeigt eine unerträgliche Geschichtsvergessenheit.  Nichts verbindet Coronaproteste mit Widerstandskämpfer*Innen.  Nichts!",negative,disgust,frustration
1265296393956208641,"Morddrohungen bis zu Beleidigungen aller Art, einige von uns müssen viel hinnehmen. Daher sollte jeder mit Restbestand von Charakter die Hetze im Netz gegen Virologen, Epidemiologen oder Politiker einstellen. Es animiert Leute, die unberechenbar sind. Denkt an unsere Familien https://t.co/mOzXAnNLge",negative,disgust,concern
1327692049181782017,"Ich sehe nicht, was Querdenken überhaupt mit Denken zu tun hat. Wir kämpfen darum, dass unsere Kinder zur Schule gehen können und Ältere und Kranke nicht sterben. Jeder dazwischen kann bleibende Schäden haben. Querdenker sind mE selbstgerechte Saboteure der Zivilgesellschaft",negative,disgust,frustration
1289518034621612032,"Tausende #Covidioten feiern sich in #Berlin als „die zweite Welle“, ohne Abstand, ohne Maske. Sie gefährden damit nicht nur unsere Gesundheit, sie gefährden unsere Erfolge gegen die Pandemie und für die Belebung von Wirtschaft, Bildung und Gesellschaft. Unverantwortlich!",negative,anger,frustration
1290256905634484225,"Wer bei Rot über die Ampel fährt, kann sich damit auch nicht auf Freiheitsrechte berufen. Das ist nicht verboten, weil es der Politik nicht gefällt, sondern weil es Menschenleben gefährdet. Die Freiheit in diesem Land ist groß, aber sie endet, wo die der anderen beginnt. #Maske",negative,sadness,concern
1344758901783359489,"Ich wünsche allen Followern ein gesundes und glückliches Neues Jahr. Danke für das Interesse und den Zuspruch, den mir viele geschenkt haben, aber auch für die konstruktive Kritik. Zusammen werden wir in 2021 die Corona-Pandemie beenden und für die Zukunft besser vorbereitet sein https://t.co/gZdbQ8bNEx",positive,joy,relief
1225034218671083520,"Der Tabubruch, der AfD zu echter Macht verholfen zu haben, wird nun für immer mit @CDU und @fdp verbunden sein. Die Masken sind gefallen. Es werden jetzt spannende Tage. Wachsamkeit ist das Gebot der Stunde. #Thüringen",negative,fear,concern
1289611089655869440,"Wer jemals einen Menschen am Beatmungsgerät um sein Leben kämpfen gesehen hat kann eine solche uninformierte, rücksichtslose und selbstgerechte Verhaltensweise nicht akzeptieren. Wenn das nicht anders zu stoppen ist muss es erhebliche Bussgelder geben https://t.co/kJS6Nrs0WU",negative,anger,frustration
1279891156915101703,Ich sehe es genau anders. Wer ohne Maske einkauft und die Ware mit seinen Droplets kontaminiert oder das Personal und alte Menschen gefährdet mag zwar „sein Gesicht zeigen“. Das gleiche nicht zu tun wäre aber „Charakter und Verstand zu zeigen“. Schutzmaske ist keine Vermummung,negative,disgust,frustration
1240736736906543105,"Wenn ich mir anschaue, wie bei @rbb24 / @ARDKontraste die #Corona-Picknicker noch kackendreist in die Kamera grinsen und der #StayAtHome-Fraktion ungeniert den Mittelfinger zeigen, dann wird klar: Das ist kein Informationsdefizit, sondern eine Haltung. Abgründe tun sich auf.",negative,disgust,frustration
1329491847140560898,"(1) Mitglieder dieser Facebook Gruppen drohen mir erneut mit Tod und Leid. Sie radikalisieren sich gegenseitig. Ich bin nicht der einzige Betroffene. Es stimmt mich traurig, dass es so ist. AfD trägt mE grosse Mitschuld, sie zersetzt Demokratie, ist ohne Anstand. Ich mache weiter",negative,sadness,concern
1329048320736710656,Diese Leute vor meinem Fenster werden mir heute nicht die gute Stimmung in Anbetracht der Erfolge beim Impfstoff verderben. Werde mit ⁦@igorpianist⁩ auf meinem Balkon darauf anstossen. https://t.co/fYINoKCAi6,positive,anticipation,relief
1339959918045110273,"Traurig aber wahr, zum Thema #Coronaleugner https://t.co/p6CsNLsu4x",negative,sadness,humour or sarcasm
1291691949855051776,"Ich mache Vorschläge, wie man mit einer auf Superspreader/Cluster ausgerichteten Strategie in einer 2.Welle einen Lockdown verhindern kann. Und wie wir unsere Kinder sicher wieder unterrichten können. Dafür arbeite ich hart, wie viel andere auch. Von Ihrer Partei hört man nichts",negative,sadness,frustration
1311709674903932929,"Herzlichen Glückwunsch an ⁦@c_drosten⁩ Er hat das Bundesverdienstkreuz verdient wie kein Zweiter in der Corona Pandemie. Ohne ihn wäre die extrem schnelle, erfolgreiche Bekämpfung der 1. Welle schlicht nicht möglich gewesen. Das muss man anerkennen https://t.co/dS1tw4QZDV",positive,trust,relief
1241857553409216513,"An jeden, der jetzt abfeiert, dass die Regierungschefin unseres Landes in Quarantäne geht: Sowas ist nur noch widerlich und unmenschlich. Lasst uns mit diesem Hass auf alles in Ruhe!   Frau Bundeskanzlerin, Ihnen alles Gute &amp; bleiben Sie gesund.   #COVIDー19",negative,disgust,frustration
1240569679825027072,"Auch ich bin vom #coronavirus betroffen. Mit geht es gut &amp; um mich muss sich niemand sorgen. Bleibe weiter daheim in #Quarantäne &amp; folge den Anweisungen der Behörden. Sorgt Euch um die, die es härter treffen kann &amp; macht unbedingt mit bei #wirbleibenzuhause! https://t.co/c89rgGiRCm",positive,anticipation,downplayed risk
1239489891219767297,"An alle, die mit #NoAfD sympathisieren, hättet Ihr als Krisenmanager gerade lieber:  Boris Johnson (setzte zuerst auf ,Herdenimmunität‘)?  Jair Bolsonaro (hielt #Corona anfangs für ,Fantasie‘)?  Oder Donald Trump (war ‚nicht besorgt‘)?!   Nein?! Dann merken &amp; nie vergessen!",negative,fear,concern
1243941763817013251,"Ein Update in eigener Sache: Mein neuer #Corona-Test ist negativ &amp; die Quarantäne aufgehoben. Ich bin wieder gesund, aber auch jetzt werde ich nicht unnötig rausgehen. Abstand halten heißt füreinander da zu sein. Bleibt solidarisch. Bleibt zuhause. #StayHomeAndStaySafe #EvdeKalin https://t.co/5lTPlDILae",positive,anticipation,relief
1304693089148317696,"Andi Scheuer sagt, (#Klima-)Ziele müssen in die Zeit passen.   Ich sage: Verkehrsminister auch. https://t.co/oU9zTAZCec",negative,anger,concern
1328968484919926793,"Wenn ein Mitglied des Bundestages noch vor wenigen Jahren ein Gesetz, wie das #Infektionsschutzgesetz mit dem #Ermächtigungsgesetz der Nazis von 1933 gleichgesetzt hätte, wäre die Rückgabe des Mandats eine Frage von Stunden gewesen. Heute tut es eine ganze Fraktion - folgenlos.",negative,disgust,frustration
1239715616497577991,"Ich finde der Söder macht das gerade gut. Krisenzeiten sind in Deutschland Zeiten, wo Demokraten über Parteigrenzen hinweg zusammenrücken. Es braucht jetzt Entschlossenheit und mehr Tempo. #coronavirusdeutschland #Corona #COVID19 #Soeder",positive,trust,relief
1318189681767579651,"Kann ehrlich gesagt nicht glauben, dass wir uns jetzt hier gegenseitig vorwerfen, was wir vermissen. Wo bitte kommt die Häme her, wenn eine junge Frau sagt, dass sie #Partys vermisst? #Socialdistancing heißt nicht, sich sozial daneben zu benehmen, auch nicht online!",negative,anger,frustration
1240369913010827264,"Man kann in dieser Krise #Corvid19de einfach nur froh sein eine Kanzlerin wie Angela #Merkel zu haben. Und in den kommenden Monaten sollte kein Parteibuch, sondern nur politische Ernsthaftigkeit, demokratische Verantwortung und gesellschaftliche Solidarität eine Rolle spielen.",positive,trust,relief
1325216276873154560,"Unfassbar: Nach Chemnitz und Heidenau nun #Leipzig. Die Polizei und damit das staatliche Gewaltmonopol weicht zurück - und lässt Pandemie-Leugner, darunter zahlreiche Neonazis gewähren. Das muss auf allen Ebenen aufgeklärt werden. Auch d Bundesinnenminister ist gefragt. #le0711",negative,disgust,concern
1240752488736788480,"Schnelle Prüfung ergibt: Wohnsitz &amp; Arbeitgeber in Deutschland. Alles gut abgespeichert. Anzeigen, Hinweise an Verfassungsschutz&amp; ggf Arbeitgeber folgen nach Corona. Gute Nachricht: der Druck hat gewirkt &amp; die Behörden werden immer besser im Aufspüren der Fanatiker @TRTDeutsch https://t.co/uR9BajTfcI",negative,disgust,concern
1336276344657817600,"Ich bin in einem Schnelltest positiv auf Covid-19 getestet worden. Ich habe mich heute Vormittag testen lassen, weil ich leichte Erkältungssymptome bemerkt hatte. Ich habe mich jetzt in häusliche Isolation begeben. Mir geht es den Umständen entsprechend gut. (1/2)",positive,anticipation,downplayed risk
1273668886454571008,Über 730 Corona-Infektionen bei #Tönnies: Ich habe Strafanzeige wegen des Tatbestandes der Körperverletzung und aller weiteren in Betracht kommenden Delikte eingereicht. https://t.co/XroS2xWXfs,negative,anger,frustration
1334382616238239749,"Kunden, die #Corona unterschätzten, unterschätzen auch gern die #Klimakrise oder #Rechtsextremismus",neutral,fear,concern
1265718233983791105,Wirklich entzückend!  ⁦@AOK_Politik⁩ stoppt Werbung in der #BILD Zeitung ⁦@c_drosten⁩ #Corona  https://t.co/mZaQ24UvQb,positive,joy,relief
1279798745719332864,"Ich verstehe die Ungeduld und den Wunsch nach Normalität. Aber das Virus ist noch da. Wo in geschlossenen Räumen der nötige Abstand nicht immer gesichert ist, bleibt die Alltagsmaske geboten. So achten wir aufeinander und schützen uns gegenseitig. #COVID19",neutral,trust,downplayed risk
1273177240952545282,"Starker Start: Die #CoronaWarnApp wurde bereits 6,5 Millionen Mal heruntergeladen. Das sollte noch mehr Bürger motivieren, mitzumachen. Denn Corona einzudämmen, ist ein Teamspiel. Jeder, der die App nutzt, macht einen Unterschied. #IchAppMit",positive,anticipation,relief
1343154122367918080,"Als am 12. April 1955 bekannt wurde, dass  Wissenschaftler einen Impfstoff gegen die Kinderlähmung (Polio) gefunden hatten, da - so heißt es in einem Bericht - ""verharrten die Menschen eine Weile in Schweigen, läuteten Glocken, hupten, ließen Fabrikpfeifen schritten, ...",neutral,sadness,frustration
1321537549144334336,"Vielleicht würde es den Sinn für Eigenverantwortung schärfen, wenn über #Covid19 Patienten auf Intensivstationen und an Beatmungsgeräten ähnlich oft und ausführlich berichtet würde, wie über die Demonstrationen von „Querdenkern“ und #Hygieneleugner",negative,sadness,frustration
1259573818785501187,"Bei @AnneWillTalk wird #Kubicki gefragt, ob er #Lockerungen will. „Ja, vor allem weil ich nicht weiß, was wir mit R-Zahl 1 oder 1,3 jetzt anfangen sollen.“ Aha, also Nicht-Wissen als Grundlage für eine Forderung nach Lockerungen. #AnneWill",negative,anger,concern
1289701285998940160,"Es sind keine #Covidioten. Der Begriff verharmlost die Ziele der Drahtzieher. Es ist eine Querfront, die unsere Demokratie verachtet, mit Fake News eine geschlossene Gegenwelt aufbauen will (Stichwort:Lügenpresse) um sie gegen den freiheitlichen Rechtsstaat in Stellung zu bringen",negative,disgust,frustration
1241161764852715520,"Ich bin 73, habe ein vorgeschädigtes Herz und ein geschwächtes Immunsystem. Deshalb werde ich so lange in häuslicher Quarantäne bleiben müssen, bis ein wirksames Medikament/Impfung gegen #Coronavirus verfügbar ist. Das fiele mir leichter, wenn ich mir nicht 2/",neutral,anticipation,concern
1287632725864845312,"Warum leichtfertig riskieren, was wir gemeinsam unter hohen Kosten erreicht haben? Durch iIllegale Parties u Reisen ohne Vorsicht verbreitet sich das Virus wieder schneller. #Covid19 besiegen ist ein Teamspiel. Es geht nur, wenn möglichst viele mitziehen u aufeinander aufpassen.",negative,anger,concern
1287773361423233025,"Wir müssen verhindern, dass Reiserückkehrer unbemerkt andere anstecken und so neue Infektionsketten auslösen. Deswegen werde ich eine Testpflicht für Einreisende aus Risikogebieten anordnen. Das dient dem Schutz aller Bürgerinnen und Bürger.",neutral,anticipation,relief
1289578781057810432,"Ja, Demonstrationen müssen auch in #Corona-Zeiten möglich sein. Aber nicht so. Abstand, Hygieneregeln und Alltagsmasken dienen unser aller Schutz; so gehen wir respektvoll miteinander um und schätzen den Verzicht so vieler in dieser Pandemie wert.",neutral,trust,downplayed risk
1244001308153184256,"Über 10.000 Menschen in Italien verstorben an #Corona. Fast 6.000 in Spanien. In beiden Ländern über 800 Tote letzte 24 h, über 300 in Frankreich. Fruchtbar, riesige Herausforderung. Hören wir bitte auf, nach wenigen Tagen Einschränkungen in 🇩🇪 zu diskutieren, wie lange das „muß“",negative,anger,frustration
1343157048863838208,Das Leben einer 101-Jährigen ist exakt genauso viel Wert wie das Leben eines jüngeren Menschens. #Impfstoff #Impfstart #Impfung #Impfen,positive,trust,relief
1337706362621538305,‼️Einbürgerunsurkunde statt Abschiebungsbescheid‼️ Seit Monaten kümmert sich Farah Demir um Corona-Intensiv-Patienten. Doch der hingebungsvollen Pflegefachkraft droht die Abschiebung - dabei lebt sie seit 34 Jahren in Deutschland.“   https://t.co/rehoawSSi1,negative,anger,frustration
1241372372067852288,"Mein Eindruck ist nicht, dass die Menschen jetzt darüber nachdenken, wer sich in der Krise als Kanzlerkandidat qualifiziert. Mein Eindruck ist, dass die allermeisten froh sind, dass wir jetzt Angela Merkel als Kanzlerin haben. #Coronavirus #FlattenTheCurve #bleibzuhause",neutral,trust,relief
1299673585984905217,"Die Berliner Demo wird aufgelöst. Für die Polizistinnen und Polizisten, die das jetzt durchsetzen müssen, ist das ein Knochenjob mit extra Infektionsrisiko. Das kann man auch mal anerkennen und ihnen für ihren Einsatz danken. #b2908 #Berlin2908",positive,trust,concern
1292779520940965888,"Du bist so richtig CDU, wenn Digitalisierung für Dich „eine Mailadresse für jeden Schüler“ bedeutet 🙈🙈🙈",neutral,anger,humour or sarcasm
1238821264459882497,"ARD/ZDF lernen nichts. Ich bin 70 geworden und weiß seit 1 Stunde, dass ich Corona - positiv bin. Makabere  ARD-Satire: „Corona rafft die Alten dahin. Das ist nur gerecht“ https://t.co/LUvgq0KNSM via @welt",negative,disgust,frustration
1328746430744449026,"Die FDP-Bundestagsfraktion hat einstimmig beschlossen, den Gesetzentwurf für ein Infektionsschutzgesetz morgen im Deutschen Bundestag abzulehnen.",neutral,trust,relief
1321751842095771648,"Ich habe eine Spontanversammlung angemeldet: Lasst uns heute um 18:00 Uhr zu einer Schweigeminute an der französischen Botschaft am Pariser Platz in Berlin treffen, um die Opfer des islamistischen Terrors in Paris, Dresden und #Nizza zu betrauern. Masken bitte nicht vergessen.",neutral,sadness,frustration
1328784105333542915,"Liebe Verschwörungstheoretiker, es ist so: Im Straßenverkehrsgesetz tauchen die Wörter „Ermächtigung“ und „ermächtigt“ 37 mal auf und trotzdem ist Scheuer nicht Hitler.",negative,disgust,frustration
1309557024720588800,"Respekt an #FridaysForFuture! Kinder und Jugendliche haben heute mit Maske und Abstand demonstriert. Ein Vorbild für manche Erwachsene, die in der letzten Zeit in Berlin protestiert haben... Das Demonstrationsrecht ist wichtig - und trotz Corona möglich. CL #KeinGradWeiter",positive,trust,relief
1241762545825964032,"Strenges #Kontaktverbot ist vernünftiger als #Ausgangssperre. Schließlich ist Ziel nicht Einsperren von Menschen in ihrer Wohnung, sondern Unterbinden von Versammlungen. Eigentlich muss es #stayalone heißen, nicht #stayhome. Spaziergänge an der Luft sind erlaubt und sinnvoll. CL",neutral,trust,downplayed risk
1325790120851755015,"Ginge es nach der AfD, gäbe es in 🇩🇪 kein #BioNTech mit Özlem Türeci &amp; Uğur Şahin an der Spitze. Ginge es nach Kapitalismus- und Globalisierungskritikern, gäbe es keine Kooperation mit Pfizer. Aber das macht uns stark: Einwanderungsland, Marktwirtschaft &amp; offene Gesellschaft! 🚀",positive,trust,relief
1264856565431107584,"#OneCountryTwoSystems muss weiterhin seine Gültigkeit haben. #Deutschland sollte Allianz mit #USA und #GB schmieden, um den Menschen, die in #HongKong für Freiheitsrechte kämpfen, den Rücken zu stärken. https://t.co/TZLe5T7zeG",neutral,anticipation,concern
1318153471137402881,"Was hat die Corona-Politik mit @Markus_Soeder gemacht, dass er die @fdp in die Nähe der #AfD rückt, weil wir an der Beteiligung der Parlamente bei Eingriffen in Grundrechte festhalten und die Wirksamkeit von Maßnahmen begründet sehen wollen? CL",negative,surprise,question
1238924370879418369,Meine Corona-Quarantäne: Tag 1 - Wie es mir nach der Diagnose geht. #COVID19de https://t.co/Xw3gCe9uss,positive,anticipation,downplayed risk
1329037941306515456,"Die AfD hält sich nicht an Abstandsregeln, nicht an die Geschäftsordnung, ruft dazu auf Büros lahm zu legen und lässt Abgeordnete auf dem Weg ins Plenum bedrängen. Sieht so Parlamentsbeteiligung aus?! 🤯 Da fehlt jeder Respekt vor den Institutionen unsere Demokratie #Bundestag",negative,disgust,frustration
1321235300887240707,"Laut Medienberichten will Frau #Merkel u.a. die #Gastronomie komplett still legen. Das hielte ich für unnötig und deshalb auch für verfassungswidrig. Mal sehen, was heute kommt. CL #COVID19 #Freiheit",negative,anticipation,concern
1237389338582769664,"Auf COVID-19 war Taiwan besser als alle anderen vorbereitet &amp; ging effektiv gegen die Ausbreitung vor. Folge: bei 23 Mio Einwohnern 47 Fälle &amp; nur einen Todesfall. Taiwans Expertise muss nun dringend in die WHO integriert werden, damit wir COVID-19 effektiv bekämpfen können.",positive,trust,downplayed risk
1240589566450503680,"Gute Besserung Dir, lieber Cem. CL",positive,anticipation,relief
1242457063743160322,Die Regierung hat die Bedrohung durch das #Corona-Virus lange heruntergespielt. Die #AfD-Fraktion hat hingegen bereits früh gewarnt und ganz konkrete Maßnahmen eingefordert. Dafür wurde sie von den etablierten Parteien verlacht... #CoronaPandemie #COVID19de https://t.co/z6eAbd7HTg,negative,disgust,frustration
1311210723528396801,Merkel macht Rechtsbruch zum politischen Prinzip! Die #GroKo glänzt durch Totalversagen. Von Wirtschaft über Klima und Justiz bis hin zu Flüchtlingspolitik und #Corona-Wahn – alles haben #Merkel und ihre Regierung in den Sand gesetzt. Meine Generalabrechnung seht Ihr im Video: https://t.co/CKTKcvgd4W,negative,anger,frustration
1298541966980980737,"#Berlin verbietet mehrere regierungskritische #Corona-Demonstrationen. Hätte man so auch entschieden, wenn sich die Demos ""GEGEN RECHTS"" gerichtet hätten? Grundrechte werden inzwischen nur noch dem zugesprochen, der sich wohlwollend gegenüber der Regierungspolitik verhält! #AfD https://t.co/l215gnvXUr",negative,disgust,frustration
1233698431224418304,"Kanzlerin #Merkel will in Zeiten der #COVID2019-Pandemie mit „Maß und Mitte“ regieren. Wir alle wissen, was das bedeutet: die Bundesregierung hat beschlossen, einfach gar nicht mehr zu regieren. #CoronaVirusDE https://t.co/WnGqoij741",negative,disgust,frustration
1334445261507207170,Merkel hat zwei richtige Dinge gesagt: 1. Wir schaffen das. 2. Bitte bleiben Sie zu Hause. Leider hat sie 2015 mit 2020 verwechselt. #COVID19de,negative,disgust,frustration
1311904951296233473,.@realDonaldTrump ist positiv auf #Covid19 getestet worden und befindet sich in Quarantäne. Ich wünsche dem US-Präsidenten eine schnelle Genesung und Wiederaufnahme des Wahlkampfs. #Trump #corona #AfD,positive,anticipation,relief
1240298555157426182,"Wenn die Medien gerade berichten, dass keine Asylbewerber mehr nach Deutschland einreisen könnten, dann ist das nur die halbe Wahrheit. Denn wer an der Grenze „#Asyl“ sagt, der wird problemlos eingelassen. Hören Sie in die heutige Bundespressekonferenz hinein. #COVID2019de #AfD https://t.co/mw3rFmSkzJ",negative,disgust,concern
1320492267367473154,"Nach d Sendung noch vor laufender Kamera live erwischt: #Laschet hält 1,5 m Abstand ohne Maske nicht ein. Alles nur Spektakel! #AnneWill auch nicht. Die knebeln das ganze Volk mit Regeln, die sie selbst nicht einhalten wollen. #COVID19 https://t.co/GkIlEQUaLZ",negative,anger,frustration
1337341824885809153,"Wie zuverlässig #Corona-Tests sind, beweist ein Abgeordneter der FPÖ in diesem kurzen Mitschnitt. Er nutzte seine Redezeit im Parlament, um einen Schnelltest zu machen - an einem Glas #Cola. Das ""überraschende"" Ergebnis sehen Sie im Video! #Lockdown #LockdownJetzt #AfD https://t.co/dNqvnA4Rxk",negative,anger,misinformation
1338068484853542913,"Dieser #Lockdown-Beschluss ist ein Offenbarungseid für die politisch Verantwortlichen und ein Desaster für Bürger und Wirtschaft. Nötig ist ein stringentes Schutzkonzept für gefährdete Bevölkerungsgruppen. Die Holzhammer-Methode ""Lockdown"" ist dagegen kontraproduktiv! #AfD https://t.co/j8pQSr0er6",negative,anger,frustration
1311922495553970177,Ich wünsche Donald und Melania Trump alles Gute und viel Erfolg gegen das Virus! Die Schadenfreude der Linken ist unerträglich und zeigt nur einmal mehr deren wahren Charakter. #Trump #COVID19 #TrumpHasCovid,negative,disgust,frustration
1235187242878062592,„Wir haben es mit einer echten Krise zu tun. Die lässt sich nicht mit weltfremden Kanzlerinnen-Podcasts und Beschwichtigungen wegschwätzen!“ #Corona #Bundestag #Spahn #Bundesregierung #Covid19 #Weidel https://t.co/NTMVhHLB0m,negative,anger,concern
1298551533995425793,Das Verbot der Berliner Corona-Demo am 29.8. ist ein Schlag ins Gesicht der Freiheit und des Rechtsstaats. Diese totalitäre Maßnahme darf und wird keinen Bestand haben!#Freiheit #COVID19 #Corona,negative,anger,frustration
1264853481803964417,"Seit es das #Grundgesetz gibt, hatte #Deutschland keinen Regierungschef, der deutsche Interessen so schlecht vertritt und den Ausverkauf des deutschen Volksvermögens und der Staatsfinanzen so schamlos betreibt, wie Angela #Merkel! #AfD #Corona #Covid19 https://t.co/qGKYUgqcSe",negative,disgust,frustration
1233475287704313857,"Die Kanzlerin ist weg.Sie konnte aus dem tiefsten Afrika die Rückgängigmachung demokratischer Wahlen in Thüringen fordern.Doch wenn 🇩🇪 vor einer Virus-Epidemie steht,ist sie vom Erdboden verschluckt #WoistMerkel? #Verantwortungsverweigerung #COVID2019 #coronavirus #CoronaVirusDE",negative,disgust,question
1242435241865871360,"Freie Verpflegung für alle Mitarbeiter in Krankenhäusern, Kliniken, Alten-, Pflege- und Behinderteneinrichtungen: Bayern übernimmt ab 1. April die Kosten für Essen und Getränke während der Corona-Krise. Herzlichen Dank für die Arbeit, die rund um die Uhr geleistet wird.",positive,joy,relief
1280066366981185542,"Die Maskenpflicht bleibt bestehen, da das Tragen von Masken eines der wenigen wirksamen Instrumente gegen die Ausbreitung von Corona ist. Wir setzen unseren Kurs von Vorsicht und Umsicht fort, um Risikogruppen zu schützen. Corona ist noch nicht vorbei.",neutral,trust,downplayed risk
1337363040883322880,"Die heutigen Zahlen sind so hoch wie nie. Wir brauchen einen grundlegenden Lockdown so schnell wie möglich. Jeder Tag zählt. Warum zögern, wenn wir wissen, dass es notwendig ist? Deshalb: Jetzt alles vorziehen und entschlossen handeln. Wir müssen noch vor Weihnachten runterfahren",neutral,anticipation,concern
1335597613601730560,"Wir müssen jetzt mehr tun und handeln. Die Zahlen sind zu hoch. Es droht die Überlastung des Gesundheitssystems und die Todeszahlen steigen. Alle vier Minuten stirbt ein Mensch in Deutschland an Corona. Es ist ethisch nicht vertretbar, das einfach weiterlaufen zu lassen.",negative,fear,concern
1243594931928813568,"Adidas erzielte 2019 2 Mrd Euro Gewinn. Der Vorstand verdiente über 22 Mio Euro. Da kann man erwarten, dass Gesetze nicht absichtlich falsch verstanden werden. Trotz Finanzstärke Miete nicht zu bezahlen, hat wenig mit Corona zu tun, sondern viel mit unsolidarischem Verhalten.",negative,disgust,frustration
1289813392459362304,"Wir müssen damit rechnen, dass Corona mit voller Wucht wieder auf uns zukommt. Mir machen die steigenden Fallzahlen in Deutschland große Sorgen. Es ist absolute Wachsamkeit gefragt und deshalb ist jetzt nicht die Zeit für neue Lockerungen oder naive Unvorsichtigkeit. 1/2",negative,fear,concern
