name,screen_name,party,covid_tweets
"Seestern-Pauly, Matthias",mseesternpauly,FDP,10
"Throm, Alexander",alexander_throm,CDU,9
"Malsack-Winkemann, Dr. Birgit",MalsackWinkeman,AfD,98
"Bauer, Nicole",nicole_ae_bauer,FDP,23
"Esdar, Wiebke",wiebkeesdar1,SPD,0
"Moll, Claudia",ClaudiaMollMdB,SPD,0
"Rachel, Thomas",_ThomasRachel,CDU,5
"Tatti, Jessica",jessica_tatti,Die Linke,0
"Ferschl, Susanne",SusanneFerschl,Die Linke,91
"Heidenblut, Dirk",DHeidenblut,SPD,0
"Hoffmann, Dr. Christoph",HoffmannForest,FDP,430
"Tillmann, Antje",AntjeTillmann,CDU,9
"Westphal, Bernd",BerndWestphal4,SPD,1
"Maag, Karin",MaagKarin,CDU,7
"Ryglewski, Sarah",RyglewskiS,SPD,13
"Hennrich, Michael",MichaelHennric2,CDU,0
"Motschmann, Elisabeth",ElisabethMotsc1,CDU,11
"Stegemann, Albert",StegemannAlbert,CDU,2
"Mackensen, Isabel",IsabelMackensen,SPD,0
"Heidt, Peter",PeterHeidtFDP,FDP,31
"Connemann, Gitta",gitta_connemann,CDU,37
"Fahimi, Yasmin",FahimiYasmin,SPD,2
"Gnodtke, Eckhard",EckhardGnodtke,CDU,5
"Patzelt, Martin",MPatzeltCDU,CDU,8
"Kulitz, Alexander",AKulitz,FDP,10
"Rützel, Bernd",ruetzelbernd,SPD,0
"Baumann, Dr. Bernd",BerndBaumannAfD,AfD,5
"Frei, Thorsten",thorsten_frei,CDU,0
"Grundl, Erhard",Erhard_Grundl,Bündnis 90/Die Grünen,64
"Hohmann, Martin",HohmannMdb,AfD,19
"Bubendorfer-Licht, Sandra",Bubendorferfdp,FDP,35
"Martens, Dr. Jürgen",juergen_martens,FDP,7
"Bach, Bela",bela_bach,SPD,23
"Freitag, Dagmar",DagmarFreitag13,SPD,49
"Weingarten, Joe",DrJoeWeingarten,SPD,12
"Schneidewind-Hartnagel, Charlotte",charlotte_mdb,Bündnis 90/Die Grünen,6
"Zickenheiner, Gerhard",GZickenheiner,Bündnis 90/Die Grünen,11
"Monstadt, Dietrich",MdBMonstadt,CDU,0
"Vries, Christoph de",VriesChristoph,CDU,6
"Nölke, Matthias",Matthiasnoelke,FDP,2
"Martin, Dorothee",Doro_Martin,SPD,35
"Lehmann, Sylvia",LehmannSpd,SPD,0
"Hilse, Karsten",HilseMdb,AfD,0
"Huber, Johannes",HuberMdB,AfD,21
"Krichbaum, Gunther",GuntherKrichba3,CDU,1
"Ludwig, Saskia",SaskiaLudwig17,CDU,26
"Möller, Siemtje",SiemtjeMdB,SPD,11
"Otten, Gerold",Gerold_Otten,AfD,12
"Kramp-Karrenbauer, Annegret",akk,CDU,31
"Klöckner, Julia",JuliaKloeckner,CDU,55
"Schulze, Svenja",SvenjaSchulze68,SPD,40
"Söder, Markus",Markus_Soeder,CSU,233
"Walter-Borjans, Norbert",NowaboFM,SPD,55
"Meuthen, Prof. Dr. Jörg",Joerg_Meuthen,AfD,64
"Beck, Volker",Volker_Beck,Bündnis 90/Die Grünen,239
"Polenz, Ruprecht",polenz_r,CDU,1601
"Kühnert, Kevin",KuehniKev,SPD,80
"Stegner, Ralf",Ralf_Stegner,SPD,754
